lr,batch_size,eff_batch,optimizer,params,train_loss,val_loss,val_bpb,train_min
0.0001,4,16,adamw,32987776,39.426029,15.213797,2.01698,3.91
0.0001,4,16,muon,32987776,46.555085,18.055489,2.369087,4.35
0.0001,8,32,adamw,32987776,35.929953,18.482529,2.015001,6.39
0.0001,8,32,muon,32987776,42.371957,21.694525,2.368594,6.85
0.0001,16,64,adamw,32987776,41.95359,23.496944,2.015755,11.3
0.0001,16,64,muon,32987776,49.394161,27.687082,2.36789,11.74
0.0001,32,128,adamw,32987776,36.858161,30.806442,2.014576,21.1
0.0001,32,128,muon,32987776,43.433581,36.14595,2.366953,21.55
0.0003,4,16,adamw,32987776,39.401292,15.182764,2.014652,3.91
0.0003,4,16,muon,32987776,44.852797,17.355619,2.284846,4.37
0.0003,8,32,adamw,32987776,35.921052,18.454069,2.013214,6.4
0.0003,8,32,muon,32987776,40.756884,20.82136,2.282031,6.85
0.0003,16,64,adamw,32987776,41.925663,23.4596,2.01308,11.3
0.0003,16,64,muon,32987776,47.466277,26.604813,2.278511,11.72
0.0003,32,128,adamw,32987776,36.816973,30.753641,2.008678,21.1
0.0003,32,128,muon,32987776,41.679467,34.755898,2.274876,21.55
0.0006,4,16,adamw,32987776,39.3877,15.169749,2.011117,3.91
0.0006,4,16,muon,32987776,40.886621,15.773334,2.08959,4.37
0.0006,8,32,adamw,32987776,35.913252,18.418829,2.006991,6.4
0.0006,8,32,muon,32987776,37.110049,18.976137,2.08375,6.84
0.0006,16,64,adamw,32987776,41.840681,23.333158,1.99418,11.3
0.0006,16,64,muon,32987776,43.233975,24.223661,2.079363,11.74
0.0006,32,128,adamw,32987776,36.750151,30.676292,1.989911,21.11
0.0006,32,128,muon,32987776,37.886775,31.68008,2.073452,21.55
0.001,4,16,adamw,32987776,39.358556,15.168767,2.006665,3.91
0.001,4,16,muon,32987776,39.423719,15.220446,2.018457,4.36
0.001,8,32,adamw,32987776,35.868967,18.372086,1.999477,6.41
0.001,8,32,muon,32987776,35.935258,18.498924,2.016247,6.85
0.001,16,64,adamw,32987776,41.807397,23.324577,1.994128,11.28
0.001,16,64,muon,32987776,41.953731,23.499405,2.015949,11.74
0.001,32,128,adamw,32987776,36.693372,30.598286,1.978729,21.1
0.001,32,128,muon,32987776,36.852439,30.83153,2.015236,21.54
0.003,4,16,adamw,32987776,39.386774,15.17312,2.013616,3.91
0.003,4,16,muon,32987776,39.254989,15.130743,1.99149,4.36
0.003,8,32,adamw,32987776,35.907125,18.400475,2.007606,6.4
0.003,8,32,muon,32987776,35.822583,18.324091,1.985727,6.84
0.003,16,64,adamw,32987776,41.777478,23.273907,1.979239,11.29
0.003,16,64,muon,32987776,41.794525,23.347723,1.987317,11.74
0.003,32,128,adamw,32987776,36.736338,30.627886,1.987122,21.09
0.003,32,128,muon,32987776,36.673894,30.597553,1.979461,21.53
